WHO_REGION,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
AFR,SLE,Sierra Leone,MCV2,60,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,MCV2,90,88,86,95,94,94,93,93,96,95,95,95,94,95,,,93,,,,
EUR,SVK,Slovakia,MCV2,98,98,99,99,99,99,99,99,99,99,98,98,99,99,99,99,,,,,
EUR,SVN,Slovenia,MCV2,96,94,95,96,96,96,98,99,98,99,,,,,98,,98,,,,
WPR,SLB,Solomon Islands,MCV2,,,,99,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,MCV2,84,81,75,77,75,76,83,75,70,73,67,53,70,64,53,80,,,,,
AFR,SSD,South Sudan,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,MCV2,95,93,91,90,91,92,90,94,95,94,92,91,,,,,,,,,
SEAR,LKA,Sri Lanka,MCV2,99,99,99,99,99,99,97,97,97,98,99,95,90,92,52,,,,,,
EMR,SDN,Sudan (the),MCV2,69,61,57,24,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,MCV2,28,18,18,,,,,,,,86,,,,,,,,,,
AFR,SWZ,Swaziland,MCV2,73,89,89,52,74,96,,70,69,58,47,53,54,56,,,,,,,
EUR,SWE,Sweden,MCV2,95,95,95,95,95,94,95,94,,95,95,95,,,94,94,,,,,
EUR,CHE,Switzerland,MCV2,89,87,86,86,86,83,83,83,71,71,71,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),MCV2,64,66,75,70,88,99,99,,98,98,98,98,99,98,96,92,94,,,,
EUR,TJK,Tajikistan,MCV2,94,98,92,97,96,81,93,87,90,96,93,98,94,93,72,31,46,,,,
SEAR,THA,Thailand,MCV2,95,94,94,91,91,91,91,91,94,94,95,95,,,86,99,96,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,MCV2,93,96,96,96,98,99,97,95,95,96,95,95,97,95,94,95,,,,,
SEAR,TLS,Timor-Leste,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,MCV2,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,MCV2,99,99,99,95,99,98,98,98,99,99,98,99,96,,,,,,,,
AMR,TTO,Trinidad and Tobago,MCV2,79,93,86,85,99,99,80,81,87,78,85,78,73,63,80,,,,,,
EMR,TUN,Tunisia,MCV2,98,95,98,96,96,98,97,99,98,99,99,99,99,98,99,98,99,,,,
EUR,TUR,Turkey,MCV2,86,88,98,85,86,91,88,92,94,84,98,97,97,83,91,,,,,,
EUR,TKM,Turkmenistan,MCV2,99,99,99,99,99,99,99,99,98,99,98,90,74,87,94,92,91,,,,
WPR,TUV,Tuvalu,MCV2,86,91,84,93,90,70,84,82,74,83,,,,,99,,,,,,
AFR,UGA,Uganda,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,MCV2,57,,,54,56,41,,95,96,98,96,97,99,98,98,99,99,,,,
EMR,ARE,United Arab Emirates (the),MCV2,99,,,99,,94,,92,,,94,92,92,92,92,92,96,,,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),MCV2,91,89,88,87,85,84,79,75,74,75,75,76,77,74,75,76,,,,,
AFR,TZA,United Republic of Tanzania,MCV2,57,29,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),MCV2,,,,,,,,,,,,,,,,,,,,,
AMR,URY,Uruguay,MCV2,93,93,92,,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,MCV2,99,99,99,99,99,,8,,,,,99,98,97,98,99,95,,,,
WPR,VUT,Vanuatu,MCV2,,,,,,,,,,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),MCV2,52,50,38,33,26,31,6,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,MCV2,92,94,86,83,93,98,96,97,18,,,,,,,,,,,,
EMR,YEM,Yemen,MCV2,49,53,55,48,54,49,44,41,38,30,25,,,,,,,,,,
AFR,ZMB,Zambia,MCV2,47,33,,,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,MCV2,,,,,,,,,,,,,,,,,,,,,
